Date,AAPL,CVX,DIS,FB,IBM,INTC,JNJ,KO,MCD,MSFT,NKE,PG,UTX,VZ
10/13/2017,0.010823333,0.018036829,-0.027249083,0.008729188,0.004223622,0.001008713,0.0238097,0.01505429,0.035514494,0.019415516,-0.027854879,0.007660367,0.00413579,-0.019655119
10/6/2017,0.007627261,-0.004007989,0.015102947,0.007927765,0.009603551,0.039897315,0.024390505,0.010607866,0.01846543,0.020068407,0.010933282,0.014729354,0.01835235,-0.00191004
9/29/2017,0.014574823,0.001788796,-0.000304316,0.001933172,-0.000344553,0.023918104,-0.010558627,-0.010607866,-0.014132608,0.00107463,-0.026455209,-0.013754141,0.009260454,-0.008250382
9/22/2017,-0.05126692,0.02293998,0.000811795,-0.006429422,0.00213842,0.004853218,-0.023022378,-0.01505429,0.012601818,-0.012022548,-0.011763564,-0.011104516,0.016923608,0.041740901
9/15/2017,0.007849013,0.034163258,0.014827154,0.004028156,0.016500436,0.050155847,0.026147616,0.005330398,-0.017623507,0.017818142,0.031491148,0.004621003,0.031714488,0.037250381
9/8/2017,-0.033596756,0.018402697,-0.044626455,-0.006239674,-0.011377517,0.002845823,-0.000381623,0.011294772,-0.000625751,0.000540715,-0.021978845,0.003344541,-0.073625296,-0.038503112
9/1/2017,0.025872923,0.004884976,-0.008925592,0.033697087,0.002362603,0.012041551,-0.004948303,0.004597648,0.012129294,0.015263542,-0.006638759,0.000216113,0.024465679,-0.015735405
8/25/2017,0.014872867,0.016301472,0.016838585,-0.006532232,0.02850867,-0.00975903,-0.000847584,-0.002192042,0.006696735,0.004541867,-0.019293086,0.000432366,-0.003556687,0.020546541
8/18/2017,0.000126974,-0.015501382,-0.012728945,-0.003994151,-0.015202162,-0.024267701,-0.003537541,0.001753157,0.002919948,0.005175833,-0.070605158,0.012295659,-0.006081087,-0.007728414
8/11/2017,0.010864921,-0.008024046,-0.054381957,-0.009120543,-0.012626958,-0.011916219,-0.000600715,0.001976028,0.022371631,-0.002479609,-0.013307597,0.007362182,-0.038598686,-0.017531671
